Institution,# of citing papers,# of citing researchers,Researchers,Raw Affiliations
NASA Jet Propulsion Lab,5,5,Abhishek Cauligi; Elena Sorina Lupu; Erica Tevere; Jean-Pierre de la Croix; Thomas Touma,"Caltech, NASA Jet Propulsion Laboratory | NASA's Jet Propulsion Laboratory | Openmind Research Institute | NASA-JPL | Caltech | Robotics Technologist, NASA Jet Propulsion Lab"
"INRIA, France",1,4,Cordelia Schmid; Paul Pacaud; Ricardo Garcia-Pinel; Shizhe Chen,"INRIA Paris | PhD Student, Inria, École Normale Supérieure | PhD Student, Inria, École Normale Supérieure PSL | Research director INRIA "
"German Aerospace Center (DLR), Germany",4,3,Cosimo Della Santina; Jongseok Lee; Maximilian Durner,"Delft University of Technology (TU Delft), German Aerospace Center (DLR) | German Aerospace Center | Research Group Leader, Institute of Robotics and Mechatronics, German Aerospace Center (DLR)"
"Korea Advanced Institute of Science and Technology (KAIST), South Korea",2,3,Boseok Kim; Hyo-Sang Shin; Jae-Il Jang,"Korea Advanced Institute of Science and Technology | Korea Advanced Institute of Science and Technology (KAIST) | Professor, KAIST/Cranfield University"
NASA Ames Research Center,3,3,Brian Coltin; Caleb Ashmore Adams; Terry (Terrence) Fong,"Chief Roboticist, Intelligent Robotics Group, NASA Ames Research Center | Intelligent Robotics Group, NASA Ames | NASA Ames Research Center"
"European Space Agency (ESA), Europe",2,2,Peiying Hong/ Pei-Ying Hong; Tobias Bollian,"European Space Agency (ESA) | Professor, Environmental Science and Engineering, Water Desalination and Reuse Center"
MIT Lincoln Lab,2,2,Matthew Cleaveland; Mitchell K. Black Jr.,MIT Lincoln Laboratory
"CNR-IEIIT, Italy",1,1,Martina Mammarella,"Researcher, CNR-IEIIT"
National Robotics Engineering Center,1,1,Abhishek Rathod,National Robotics Engineering Center
"Technology Innovation Institute (TII), UAE",2,1,Giovanni Franzese,Lead Researcher on Robot Manipulation at the Technology Innovation Institute
"UK Atomic Energy Authority, UK",1,1,Wenxing Liu,"Robotics Research Engineer, UK Atomic Energy Authority"
