Affiliation,Author Count,Authors
Stanford University,17,"Amine Elhafsi, Amirhossein Afsharrad, Daniele Gammelli, Edward Schmerling, Ethan Foss, Jonathan Kuck, Justin Kruger, Luigi Di Lillo, Milan Ganai, Nicolas Lee, Rachel Luo, Sigrid Elschot, Simone D'Amico, Stephen Tian, Tommaso Guffanti, Yixiao (Alvin) Sun, Yuji Takubo"
Shanghai Jiao Tong University,6,"Cailian Chen, Chuan Wen, Jiangchao Yao, Jianping He, Jun Lv, Wenye Yu"
Harbin Institute of Technology,4,"G. T. Ran, Haitao Yu, Shanwu Li, Shuai Yuan"
UC Berkeley,3,"Claire Tomlin, Giuseppe Loianno, Isabella Huang"
Technical University of Munich,3,"Adrian Kobras, Ralf Römer, Simon Schaefer"
University of Washington,3,"Karen Leung, Kazuki Mizuta, Michael (Miki) Szmuk"
Massachusetts Institute of Technology,3,"Di Wu, Enrico M  Zucchelli, Pasquale Antonante"
Tsinghua University,2,"Guangtong Xu, Ziyang Meng"
MIT Lincoln Laboratory,2,"Matthew Cleaveland, Mitchell K. Black Jr."
Carnegie Mellon University,2,"Junwon Seo, Margaret Hansen"
Google DeepMind,2,"James Harrison, Mohit Sharma"
"Robotics Technologist, NASA Jet Propulsion Lab",2,"Abhishek Cauligi, Erica Tevere"
"PhD Candidate, Stanford University",2,"Matthew Foutter, Rohan Sinha"
California Institute of Technology,2,"Fengze Xie, Mohamadreza Ahmadi"
Beihang University,2,"Jianglong Yu, Tao Wang"
Johns Hopkins University,2,"Anqi (Angie) Liu, Xing Han (Aaron)"
University of Southern California,2,"Kaustav Chakraborty, Keenan Albee"
Toyota Research Institute,2,"Haruki Nishimura, Thomas Lew"
University of California Berkeley,2,"Alonso Marco, Deaho Moon"
"Control Science and Engineering, Harbin Institute of Technology",1,Kun Li
"PhD student, Stanford University",1,Daniel Morton
The Hong Kong Polytechnic University,1,Xiaoge Zhang
The University of Texas at Austin,1,Roberto Martín-Martín
Hohai University,1,Li Wentao
"Postdoctoral Researcher, , New Mexico State University",1,Isuru Basnayake
University of Wisconsin - Stevens Point,1,David C Snyder
"Systems Control and Optimization Laboratory, IMTEK, Faculty of Engineering, University of Freiburg",1,Jonathan Frey
Free University of Bozen-Bolzano,1,Domenico Dona'
"Robotics Institute, Carnegie Mellon University",1,Adam Hung
Nvidia,1,Yuxiao Chen
Tianjin University,1,Chaoxu Mu
"University of California, Berkeley",1,Cyndia Cao
Unknown affiliation,1,Colin Creager
Advocate Enterprise/ Atrium Health/ Sanger Heart and Vascular Institute,1,Aditya sharma
"Assistant Professor, Seoul National University, Republic of Korea",1,Hyeongjun Park
University of British Columbia,1,Souradeep Dutta
Princeton University,1,Alexander Glaser
"Graduate Student, Caltech",1,Andrew Singletary
"Meta, University of Toronto",1,Qiao Gu
"Professor of Robotics, Technical University of Munich and University of Toronto",1,Angela Schoellig
"Assistant Professor, Illinois Institute of Technology",1,Ersin Daş
"Chief Roboticist, Intelligent Robotics Group, NASA Ames Research Center",1,Terry (Terrence) Fong
University of Michigan,1,Fan Yang
Dexterity,1,Andrew Bylard
"PhD Student, The University of Tokyo",1,Jinjie LI
City University of Hong Kong,1,Shiyu Zhou
"Assistant Professor of Computer Science, University of California, Santa Barbara",1,James A. Preiss
Worcester Polytechnic Institute,1,Kevin Leahy
"University of York, UK",1,Victoria Hodge
King Abdullah University of Science & Technology (KAUST),1,Fahad Aljehani
Northwestern Polytechnical University,1,Mingming Wang
"Robotics PhD Candidate, University of Michigan",1,Abhinav Kumar
"AI Engineer, Tencent",1,Nanze Chen
Ph.D. Candidate and Columbia University,1,Kimia Fereydooni
"PhD Student, Inria, École Normale Supérieure PSL",1,Paul Pacaud
"School of Astronautics, Beihang University",1,gong shengping
Technische Universität Berlin,1,Philipp Gläser
Researcher,1,Mohammad Emadi
National Research Council Canada; NRC-Waterloo Collab Centre,1,Terrence C Stewart
"Professor, Environmental Science and Engineering, Water Desalination and Reuse Center",1,Peiying Hong/ Pei-Ying Hong
"Research Fellow, University of Tartu",1,Amith Manoharan
Seoul National University,1,Namhoon Cho
Duke University,1,Ronald Moore
King Abdullah University of Science and Technology (KAUST),1,Ibrahima N’Doye / Ibrahima Ndoye
University of Toronto,1,Shengxiang Sun
"Associate Professor of Electrical and Systems Engineering, University of Pennsylvania",1,Nikolai Matni
"Research Scientist, Vercept",1,Kuo-Hao Zeng
Google Research,1,Simon Geisler
Agile Robots,1,Dr. rer. nat. Ismael Valentín Rodríguez Brena
IIIT hyderabad,1,Aryaman Gupta
Research director INRIA ,1,Cordelia Schmid
Tyvak International,1,Marco Visca
Georgia Tech,1,Bogdan Vlahov
German Aerospace Center,1,Jongseok Lee
Mazandaran University of Medical Sciences,1,Alireza Rafiei
University of Central Florida,1,Praveen Jawaharlal Ayyanathan
Southern University of Science and Technology (SUSTech),1,Hongxin Wei
"Robotics Research Engineer, UK Atomic Energy Authority",1,Wenxing Liu
National Research Council of Canada; Univeristy of Waterloo,1,Michael Furlong
KTH Royal Institute of Technology,1,Marco Moletta
Professor of Shanghai Jiao Tong University,1,cewu lu
"Lab for AI in Medicine, Department of Computer Science, Technical University of Munich",1,Matan Atad
"Assistant Professor, UCLA",1,Anushri Dixit
NVIDIA,1,Boris Ivanovic
Assistant Professor of Flight Mechanics,1,Stefano Silvestrini
"PhD Student, University of Leeds",1,David Russell
CS Ph.D. Student @ University of Toronto,1,Yuanliang Ju
"PhD Student, Johns Hopkins University",1,Drew Prinster
Professor in automatic control,1,John J. Martinez Molina
"Harvard University, Massachusetts Institute of Technology",1,Yongchao Chen
University of Edinburgh,1,Kartic Subr
"University of Texas, Austin",1,Huihan  Liu
"Associate Professor, Massachusetts Institute of Technology",1,Luca Carlone
"PhD Student, Inria, École Normale Supérieure",1,Ricardo Garcia-Pinel
Wichita State University,1,Tamás G. Molnár
"Research Scientist, NVIDIA",1,Apoorva Sharma
Amazon Prime Air,1,Taylor Patrick Reynolds
"Graduate Research Assistant, Stanford University",1,Benjamin Estacio
"Intelligent Robotics Group, NASA Ames",1,Brian Coltin
"Student, Massachusetts Institute of Technology",1,Alejandro Carrasco
Technical University of Graz,1,Max Peter Ronecker
"CEO, INCAR Robotics AB",1,Michael C. Welle
"DFKI RIC, Bremen and Robotics Group, Universität Bremen",1,Mariela De Lucas Alvarez
PhD Candidate,1,Nikhil Shinde
Toyota Research Institute (TRI),1,Chen Xu
"Professor of Computer Science, Technical University of Munich",1,Stephan Günnemann
경기대학교,1,이세훈
National Robotics Engineering Center,1,Abhishek Rathod
Associate Professor at the University of Cambridge,1,Rika Antonova
Openmind Research Institute | NASA-JPL | Caltech,1,Elena Sorina Lupu
Auburn University,1,Ehsan Taheri
Astrodynamics Specialist @ Vyoma GmbH,1,Andrea Carlo Morelli
Professor at University of Surrey,1,Saber Fallah
ASU | Stanford University,1,Ransalu Senanayake
Politecnico di Milano,1,Matteo D'Ambrosio
University of Waterloo,1,Roya Firoozi
Google,1,Dmitry Kalashnikov
Universidad Politécnica de Madrid,1,Victor Rodriguez-Fernandez
Институт проблем передачи информации РАН,1,Alexander Davydov
"Ph.D. student, UC San Diego",1,Sander Tonkens
"Senior Control Systems Engineer, Remote Applications in Challenging Environments",1,Roger Powell
Bosch Central Research,1,Xuda Ding
"Associate Professor, Dept. of Aeronautics & Astronautics, MIT",1,Richard Linares
University of Oxford,1,Kostas Margellos
Senior Research Scientist @ NVIDIA | CMU Robotics | ex-Meta,1,Xinshuo Weng
"Graduate Student, California Institute of Technology",1,Jedidiah Alindogan
"Senior Lecturer, University of New England (AU)",1,Farshid Hajati
Department of Aeronautics and Astronautics,1,Johnathan A Tucker
Apple | Stanford University,1,Somrita Banerjee
"PhD Student in Computer Science, Stanford University",1,Christopher Agia
Stanford University and NVIDIA,1,Marco Pavone
Autopilot @ Tesla AI,1,Patrick Hart
INRIA Paris,1,Shizhe Chen
"Electrical and Systems Engineering, University of Pennsylvania",1,Vivian Lin
Assistant Professor at Carnegie Mellon University,1,Andrea Bajcsy
Researcher @ Stanford,1,Ali Hindy
"Associate Professor, Beihang University",1,Yongzhao Hua
Senior Autonomy Engineer at PlusAI,1,Alessandro Saviolo
"Lecturer (Asst. Prof.), The University of Manchester",1,Michele Caprio
"PhD Student, UC San Diego",1,Azra Begzadić
"Assistant Professor, University of Toronto",1,Igor Gilitschenski
"John C. Malone  Endowed Chair; Computer Science, Statistics, Medicine, Health Policy, Johns Hopkins",1,Dr. Suchi Saria
"Associate Professor, Princeton University & Visiting Research Scientist, Google DeepMind",1,Anirudha Majumdar
Harvard-Smithsonian Center for Astrophysics,1,Martin Elvis
PhD Student at Carnegie Mellon University,1,Kensuke Nakamura
"Professor of Robot Learning and Autonomy, School of Informatics, University of Edinburgh",1,Subramanian Ramamoorthy
"PhD candidate, Amirkabir University of Technology",1,Mohammad Reza Kavianinia
"Assistant Professor of Fungal biotechnology, Umm Al-Qura University",1,Mohammad Khalil Monjed
Professor of Safety-Critical Systems at the University of York,1,Ibrahim Habli
University of Tehran,1,Sina Jahromi
"UPS Foundation Professor, Electrical and Systems Engineering, University of Pennsylvania",1,George Pappas
"Senior Research Scientist, Toyota Reseach Institute",1,James Dallas
"Professor, KAIST/Cranfield University",1,Hyo-Sang Shin
"NVIDIA Research, UC Berkeley",1,Boyi Li
